Date,Value
2025-01-04,5535512810275
2025-01-05,5536170107459
2025-01-06,5536603779688
2025-01-07,5537144891444
2025-01-08,5537661074765
2025-01-09,5538206490203
2025-01-10,5538750940344
2025-01-11,5539150098797
2025-01-12,5539595107801
2025-01-13,5540071185986
2025-01-14,5540556823668
2025-01-15,5541009725959
2025-01-16,5541613771274
2025-01-17,5542306822064
2025-01-18,5542785303832
2025-01-19,5543157881718
2025-01-20,5544175160457
2025-01-21,5544623579777
2025-01-22,5545114040990
2025-01-23,5545586674761
2025-01-24,5546061363380
2025-01-25,5546539138777
2025-01-26,5547010874248
2025-01-27,5547615142302
2025-01-28,5548200918960
2025-01-29,5548868092749
2025-01-30,5549869124103
2025-01-31,5550599189969
2025-02-01,5551057739323
2025-02-02,5551493298892
2025-02-03,5552072694100
2025-02-04,5552668575025
2025-02-05,5553290850870
2025-02-06,5553894436726
2025-02-07,5554502716960
2025-02-08,5554978645556
2025-02-09,5555467525690
2025-02-10,5556028193591
2025-02-11,5556571405792
2025-02-12,5557099916847
2025-02-13,5557657971468
2025-02-14,5558199905749
2025-02-15,5558708942211
2025-02-16,5559198570054
2025-02-17,5559855632061
2025-02-18,5560424898541
2025-02-19,5560948407683
2025-02-20,5561596711055
2025-02-21,5562357134123
2025-02-22,5562909176638
2025-02-23,5563402471159
2025-02-24,5563987499043
2025-02-25,5564579691967
2025-02-26,5565017807442
2025-02-27,5565446655979
2025-02-28,5565928267833
2025-03-01,5566436545047
2025-03-02,5566960863652
2025-03-03,5567513009864
2025-03-04,5568076875771
2025-03-05,5568688143696
2025-03-06,5569232881210
2025-03-07,5569806875061
2025-03-08,5570294837483
2025-03-09,5570803761674
2025-03-10,5571418997956
2025-03-11,5572033192561
2025-03-12,5572657807969
2025-03-13,5573213008814
2025-03-14,5573746848903
2025-03-15,5574258328766
2025-03-16,5574767541806
2025-03-17,5575348649872
2025-03-18,5575742561805
2025-03-19,5576176736382
2025-03-20,5576643676338
2025-03-21,5577096025576
2025-03-22,5577498660548
2025-03-23,5577898075963
2025-03-24,5578424559314
2025-03-25,5578863048294
2025-03-26,5579280452823
2025-03-27,5579688087624
2025-03-28,5580112246769
2025-03-29,5580513733621
2025-03-30,5580930100295
2025-03-31,5581368919379
2025-04-01,5581852331901
2025-04-02,5582252799898
2025-04-03,5582657784847
2025-04-04,5583426330674
2025-04-05,5583620102116
